title,link
Do you have a safety plan?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/do-you-have-a-safety-plan/td-p/104000
PLEASE READ THIS FIRST: posting in this section,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/please-read-this-first-posting-in-this-section/td-p/104106
i want to live my god damn life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-want-to-live-my-god-damn-life/td-p/611679
Tired of fighting this battle.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tired-of-fighting-this-battle/td-p/565586
I give up,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-give-up/td-p/610047
It here again,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/it-here-again/td-p/604225
Reaching the inevitable end,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/reaching-the-inevitable-end/td-p/611762
Overwhelmed and drowning,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/overwhelmed-and-drowning/td-p/611810
Parents ignoring issues,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/parents-ignoring-issues/td-p/611589
Please help,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/please-help/td-p/611613
I can't help it but feel helpless.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-can-t-help-it-but-feel-helpless/td-p/611393
Does anyone else wish they were dead but it isn't an option ?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/does-anyone-else-wish-they-were-dead-but-it-isn-t-an-option/td-p/610784
Where to from here?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/where-to-from-here/td-p/597334
Coward,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/coward/td-p/610379
Just another human who's had enough of life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/just-another-human-who-s-had-enough-of-life/td-p/528947
What options do I have Left?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-options-do-i-have-left/td-p/610513
So tired,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/so-tired/td-p/610322
I feel broken,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-feel-broken/td-p/608678
Narc partner,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/narc-partner/td-p/609746
What do u do when u can't get help,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-do-u-do-when-u-can-t-get-help/td-p/609560
mounting pressure is pushing me to bad actions,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/mounting-pressure-is-pushing-me-to-bad-actions/td-p/609554
I'm planning and I'm scared,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-planning-and-i-m-scared/td-p/609084
Gabby,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/gabby/td-p/608988
life's to thick...,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/life-s-to-thick/td-p/609042
Stressed out and Confused,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/stressed-out-and-confused/td-p/608579
I really don't know what to do anymore,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-really-don-t-know-what-to-do-anymore/td-p/607565
Why should I bother,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/why-should-i-bother/td-p/608590
Anxiety and self harm,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/anxiety-and-self-harm/td-p/608120
Lost,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/lost/td-p/608301
Survivor...,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/survivor/td-p/606790
